source,artifact_type,identifier,path,url,retrieved_at,record_count,sha256,notes
yfinance,prices,TD.TO,data/raw/prices/TD_TO.parquet,https://finance.yahoo.com/quote/TD.TO/history,2026-04-18T01:40:09+00:00,1327.0,763bffe3f270f84525cfa21a124f00339611535813000a977e7cb81ee1eb91b9,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,RY.TO,data/raw/prices/RY_TO.parquet,https://finance.yahoo.com/quote/RY.TO/history,2026-04-18T01:40:09+00:00,1327.0,ffbc541833458c8ebd3bd3226bd36bd3ece96f54fa2f1f82ec9a5286cdfe9dca,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,BNS.TO,data/raw/prices/BNS_TO.parquet,https://finance.yahoo.com/quote/BNS.TO/history,2026-04-18T01:40:10+00:00,1327.0,73cd9b4b7876294148e99d3a186ef1338de599aad81cc4c4b4fa38387b256bf8,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,BMO.TO,data/raw/prices/BMO_TO.parquet,https://finance.yahoo.com/quote/BMO.TO/history,2026-04-18T01:40:10+00:00,1327.0,09954a9eae75dd71d57c31ad2aebced2bf821c249f72b5dbbde1643066bf2c48,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,CM.TO,data/raw/prices/CM_TO.parquet,https://finance.yahoo.com/quote/CM.TO/history,2026-04-18T01:40:10+00:00,1327.0,e2771d2010574d3b40f15404752ff722a65afc5c66b62986c3dbcc989c3d4a4a,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,NA.TO,data/raw/prices/NA_TO.parquet,https://finance.yahoo.com/quote/NA.TO/history,2026-04-18T01:40:11+00:00,1327.0,4ff5f2544f879c3d1419d5ba0909fb061c2f607b050bd8266be8ae4d32906f29,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,^GSPTSE,data/raw/prices/GSPTSE.parquet,https://finance.yahoo.com/quote/^GSPTSE/history,2026-04-18T01:40:11+00:00,1327.0,c35111fbb39a6d9a6cd78ac6e6a11506730d9d5cd31a97cb5be5db9129906918,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,XFN.TO,data/raw/prices/XFN_TO.parquet,https://finance.yahoo.com/quote/XFN.TO/history,2026-04-18T01:40:12+00:00,1327.0,b5d8596e6b77b27e4be4a8f3d0737ae1797ff3d100fd99f6b7b9b6d3f424a542,daily OHLCV 2021-01-01..2026-04-17
yfinance,prices,CADUSD=X,data/raw/prices/CADUSD_X.parquet,https://finance.yahoo.com/quote/CADUSD=X/history,2026-04-18T01:40:12+00:00,1376.0,52b792897038cb05e63e1ac27e11d6f4a58bc7278b7871cdca532d5a6f4fe8ca,daily OHLCV 2021-01-01..2026-04-17
td_newsroom,news_html,2021-01-05_td-future-builder-group-rsp-program-to-transition-to-canada,data/raw/news/2021-01-05_td-future-builder-group-rsp-program-to-transition-to-canada.html,https://stories.td.com/ca/en/news/2021-01-05-td-future-builder-group-rsp-program-to-transition-to-canada,2026-04-18T02:04:37+00:00,,afcdd98d5b0b60eb69d793f64557003af39dfbe9573ea474cd51445371b8661a,FY2021Q1; TD Future Builder Group RSP program to transition to Canada Life
td_newsroom,news_json,2021-01-05_td-future-builder-group-rsp-program-to-transition-to-canada,data/raw/news/2021-01-05_td-future-builder-group-rsp-program-to-transition-to-canada.json,https://stories.td.com/ca/en/news/2021-01-05-td-future-builder-group-rsp-program-to-transition-to-canada,2026-04-18T02:04:37+00:00,17.0,b7ca731a774f42e1af01260c4def17a46f631577e2f71e41d17a8cde753e8d5f,parsed headline + body
td_newsroom,news_html,2021-01-08_td-asset-management-inc-announces-final-annual-reinvested-d,data/raw/news/2021-01-08_td-asset-management-inc-announces-final-annual-reinvested-d.html,https://stories.td.com/ca/en/news/2021-01-08-td-asset-management-inc.-announces-final-annual-reinvested-d,2026-04-18T02:04:38+00:00,,45b778220d78aec1913eef54b7370a6a03c727d2d5c1266575ace1ecafdb3169,FY2021Q1; TD Asset Management Inc. Announces Final Annual Reinvested Distributions for Cer
td_newsroom,news_json,2021-01-08_td-asset-management-inc-announces-final-annual-reinvested-d,data/raw/news/2021-01-08_td-asset-management-inc-announces-final-annual-reinvested-d.json,https://stories.td.com/ca/en/news/2021-01-08-td-asset-management-inc.-announces-final-annual-reinvested-d,2026-04-18T02:04:38+00:00,109.0,33752a8de4c54556a872bd49e3d649128e9f5125d850492cc7bfbd5f863902a1,parsed headline + body
td_newsroom,news_html,2021-01-08_2fr-e-p-e-a-t-media-advisory-td-bank-group-executive-to,data/raw/news/2021-01-08_2fr-e-p-e-a-t-media-advisory-td-bank-group-executive-to.html,https://stories.td.com/ca/en/news/2021-01-08--2fr-e-p-e-a-t----media-advisory---td-bank-group-executive-to,2026-04-18T02:04:39+00:00,,31cdfda30aa6a3a8438656f7d94bafcef069bbda5d4a4bd7c4711465855dc2b1,FY2021Q1; /R E P E A T -- Media Advisory - TD Bank Group Executive to Present at the RBC C
td_newsroom,news_json,2021-01-08_2fr-e-p-e-a-t-media-advisory-td-bank-group-executive-to,data/raw/news/2021-01-08_2fr-e-p-e-a-t-media-advisory-td-bank-group-executive-to.json,https://stories.td.com/ca/en/news/2021-01-08--2fr-e-p-e-a-t----media-advisory---td-bank-group-executive-to,2026-04-18T02:04:39+00:00,7.0,1fdee6f266f8cef61511d3d1f44d935e95f5efc898508c87c9be7e40468a491c,parsed headline + body
td_newsroom,news_html,2021-01-14_td-bank-group-to-acquire-wells-fargo-27s-canadian-direct-equip,data/raw/news/2021-01-14_td-bank-group-to-acquire-wells-fargo-27s-canadian-direct-equip.html,https://stories.td.com/ca/en/news/2021-01-14-td-bank-group-to-acquire-wells-fargo-27s-canadian-direct-equip,2026-04-18T02:04:39+00:00,,64b52f790b07d45ca4b1d3e262bbd69a462c14b6548fee097f7c27b82a86e618,FY2021Q1; TD Bank Group to acquire Wells Fargo's Canadian Direct Equipment Finance Busines
td_newsroom,news_json,2021-01-14_td-bank-group-to-acquire-wells-fargo-27s-canadian-direct-equip,data/raw/news/2021-01-14_td-bank-group-to-acquire-wells-fargo-27s-canadian-direct-equip.json,https://stories.td.com/ca/en/news/2021-01-14-td-bank-group-to-acquire-wells-fargo-27s-canadian-direct-equip,2026-04-18T02:04:39+00:00,43.0,68460696a85235d5d25dcf19b7e80e976687c8303ee3760107ca97fb0c650447,parsed headline + body
td_newsroom,news_html,2021-01-14_need-a-source-3a-covid-19-and-what-it-means-for-canadians-this,data/raw/news/2021-01-14_need-a-source-3a-covid-19-and-what-it-means-for-canadians-this.html,https://stories.td.com/ca/en/news/2021-01-14-need-a-source-3a-covid-19-and-what-it-means-for-canadians-this,2026-04-18T02:04:40+00:00,,9fa1ff45a08957c684e3cd83052e2fa48b0a9dd2b5b4cad87ad012dd3057aa32,FY2021Q1; Need-a-source: COVID-19 and what it means for Canadians this RRSP season
td_newsroom,news_json,2021-01-14_need-a-source-3a-covid-19-and-what-it-means-for-canadians-this,data/raw/news/2021-01-14_need-a-source-3a-covid-19-and-what-it-means-for-canadians-this.json,https://stories.td.com/ca/en/news/2021-01-14-need-a-source-3a-covid-19-and-what-it-means-for-canadians-this,2026-04-18T02:04:40+00:00,21.0,a214fb16b3eb92238915c1f1a08503dd968e9b83921b7a982e9620d46e922cd1,parsed headline + body
td_newsroom,news_html,2021-01-15_td-asset-management-inc-announces-td-etf-distributions,data/raw/news/2021-01-15_td-asset-management-inc-announces-td-etf-distributions.html,https://stories.td.com/ca/en/news/2021-01-15-td-asset-management-inc.-announces-td-etf-distributions,2026-04-18T02:04:41+00:00,,aaaea5032fd4c96927f1a8357c1644936f8033e6ac070c5b3f823c8907fec664,FY2021Q1; TD Asset Management Inc. Announces TD ETF Distributions
td_newsroom,news_json,2021-01-15_td-asset-management-inc-announces-td-etf-distributions,data/raw/news/2021-01-15_td-asset-management-inc-announces-td-etf-distributions.json,https://stories.td.com/ca/en/news/2021-01-15-td-asset-management-inc.-announces-td-etf-distributions,2026-04-18T02:04:41+00:00,119.0,322076dd4f2cf179d8d911a039b1736009ab98d9c344c6472274a9c741e6a127,parsed headline + body
td_newsroom,news_html,2021-01-20_td-bank-group-comments-on-expected-impact-of-the-charles-sch,data/raw/news/2021-01-20_td-bank-group-comments-on-expected-impact-of-the-charles-sch.html,https://stories.td.com/ca/en/news/2021-01-20-td-bank-group-comments-on-expected-impact-of-the-charles-sch,2026-04-18T02:04:41+00:00,,2ef6e25d9c3bd69a53ca588d10ba145fef9395937fb6b5c168fb5d8d54f0b61a,FY2021Q1; TD Bank Group Comments on Expected Impact of The Charles Schwab Corporation's Fo
td_newsroom,news_json,2021-01-20_td-bank-group-comments-on-expected-impact-of-the-charles-sch,data/raw/news/2021-01-20_td-bank-group-comments-on-expected-impact-of-the-charles-sch.json,https://stories.td.com/ca/en/news/2021-01-20-td-bank-group-comments-on-expected-impact-of-the-charles-sch,2026-04-18T02:04:41+00:00,27.0,d3ccf4bfca6aebe4a503d86f96c0be38244b04df7003a167a196db21a56946b6,parsed headline + body
td_newsroom,news_html,2021-01-25_several-mutual-funds-managed-by-td-asset-management-inc-rec,data/raw/news/2021-01-25_several-mutual-funds-managed-by-td-asset-management-inc-rec.html,https://stories.td.com/ca/en/news/2021-01-25-several-mutual-funds-managed-by-td-asset-management-inc.-rec,2026-04-18T02:04:42+00:00,,11886d9c667908a57c614d3e1c4fc9b7b80723f6a594a6f7c261f4294c47b92a,FY2021Q1; Several mutual funds managed by TD Asset Management Inc. recognized in six categ
td_newsroom,news_json,2021-01-25_several-mutual-funds-managed-by-td-asset-management-inc-rec,data/raw/news/2021-01-25_several-mutual-funds-managed-by-td-asset-management-inc-rec.json,https://stories.td.com/ca/en/news/2021-01-25-several-mutual-funds-managed-by-td-asset-management-inc.-rec,2026-04-18T02:04:42+00:00,101.0,60727ce1d7d813a03875e9626c505945e2f96a4e3ce69d9fae3096950e785692,parsed headline + body
td_newsroom,news_html,2021-01-26_td-supports-15-organizations-focused-on-advancing-covid-19-r,data/raw/news/2021-01-26_td-supports-15-organizations-focused-on-advancing-covid-19-r.html,https://stories.td.com/ca/en/news/2021-01-26-td-supports-15-organizations-focused-on-advancing-covid-19-r,2026-04-18T02:04:43+00:00,,a6feff45491792b69a320835b1f406f973575074ab7639b2a458dd14806ec8f1,FY2021Q1; TD Supports 15 Organizations Focused on Advancing COVID-19 Recovery
td_newsroom,news_json,2021-01-26_td-supports-15-organizations-focused-on-advancing-covid-19-r,data/raw/news/2021-01-26_td-supports-15-organizations-focused-on-advancing-covid-19-r.json,https://stories.td.com/ca/en/news/2021-01-26-td-supports-15-organizations-focused-on-advancing-covid-19-r,2026-04-18T02:04:43+00:00,71.0,fadba35acb2899986098f14359dcb214945eef7384d31d8047b92fcaa39892da,parsed headline + body
td_newsroom,news_html,2021-01-28_td-recognized-for-its-efforts-to-advance-women-27s-equality-by,data/raw/news/2021-01-28_td-recognized-for-its-efforts-to-advance-women-27s-equality-by.html,https://stories.td.com/ca/en/news/2021-01-28-td-recognized-for-its-efforts-to-advance-women-27s-equality-by,2026-04-18T02:04:44+00:00,,81811e5e08bc8cbaa1e5fbc1b3f28ba918c3beb57107f149b1b2d5126cb5b482,FY2021Q1; TD recognized for its efforts to advance women's equality by Bloomberg Financial
td_newsroom,news_json,2021-01-28_td-recognized-for-its-efforts-to-advance-women-27s-equality-by,data/raw/news/2021-01-28_td-recognized-for-its-efforts-to-advance-women-27s-equality-by.json,https://stories.td.com/ca/en/news/2021-01-28-td-recognized-for-its-efforts-to-advance-women-27s-equality-by,2026-04-18T02:04:44+00:00,21.0,eb418ff95d4dc929ca0387929ac58889424f482f358d80c168a5754ad84fad4d,parsed headline + body
td_newsroom,news_html,2021-01-29_td-bank-group-to-make-changes-in-the-presentation-of-certain,data/raw/news/2021-01-29_td-bank-group-to-make-changes-in-the-presentation-of-certain.html,https://stories.td.com/ca/en/news/2021-01-29-td-bank-group-to-make-changes-in-the-presentation-of-certain,2026-04-18T02:04:44+00:00,,9b7fb90c52753f18493713b61985d3bb4fb52a0cd0acf835d3be5ad197c4552f,FY2021Q1; TD Bank Group to Make Changes in the Presentation of Certain Financial Informati
td_newsroom,news_json,2021-01-29_td-bank-group-to-make-changes-in-the-presentation-of-certain,data/raw/news/2021-01-29_td-bank-group-to-make-changes-in-the-presentation-of-certain.json,https://stories.td.com/ca/en/news/2021-01-29-td-bank-group-to-make-changes-in-the-presentation-of-certain,2026-04-18T02:04:44+00:00,21.0,27ceadff805f213675b2ca63f7d606a3c4019f70397324382fd5b14f3f65f567,parsed headline + body
td_newsroom,news_html,2021-02-02_no-such-thing-as-easy-money-e2-80-a6-1-in-2-canadians-surveyed-say,data/raw/news/2021-02-02_no-such-thing-as-easy-money-e2-80-a6-1-in-2-canadians-surveyed-say.html,https://stories.td.com/ca/en/news/2021-02-02-no-such-thing-as-easy-money-e2-80-a6-1-in-2-canadians-surveyed-say,2026-04-18T02:04:45+00:00,,32fe8fb44e0581f38bac9c0eac6c0d3b93bdc02e48f70a02724a093d683a5ec1,FY2021Q2; No such thing as easy money… 1 in 2 Canadians surveyed say it's easier to find t
td_newsroom,news_json,2021-02-02_no-such-thing-as-easy-money-e2-80-a6-1-in-2-canadians-surveyed-say,data/raw/news/2021-02-02_no-such-thing-as-easy-money-e2-80-a6-1-in-2-canadians-surveyed-say.json,https://stories.td.com/ca/en/news/2021-02-02-no-such-thing-as-easy-money-e2-80-a6-1-in-2-canadians-surveyed-say,2026-04-18T02:04:45+00:00,69.0,d91f56da2caeb217cb5c237d93f45cefce7386181cad457b853d27e03f95657a,parsed headline + body
td_newsroom,news_html,2021-02-04_td-bank-group-launches-new-cyber-literacy-program,data/raw/news/2021-02-04_td-bank-group-launches-new-cyber-literacy-program.html,https://stories.td.com/ca/en/news/2021-02-04-td-bank-group-launches-new-cyber-literacy-program,2026-04-18T02:04:46+00:00,,5aa472bbaceb97c5365166f693c8ba51ba56ec157d7ad60b6886d049187610f6,FY2021Q2; TD Bank Group launches new cyber literacy program
td_newsroom,news_json,2021-02-04_td-bank-group-launches-new-cyber-literacy-program,data/raw/news/2021-02-04_td-bank-group-launches-new-cyber-literacy-program.json,https://stories.td.com/ca/en/news/2021-02-04-td-bank-group-launches-new-cyber-literacy-program,2026-04-18T02:04:46+00:00,21.0,2ebe992b683ecc80e3a36ff7368aa37ab01c09b93f1d1959dfd48dfa47637ede,parsed headline + body
td_newsroom,news_html,2021-02-04_media-advisory-td-bank-group-to-release-first-quarter-fina,data/raw/news/2021-02-04_media-advisory-td-bank-group-to-release-first-quarter-fina.html,https://stories.td.com/ca/en/news/2021-02-04-media-advisory---td-bank-group-to-release-first-quarter-fina,2026-04-18T02:04:46+00:00,,433533211b036a6b13d8224acf00975142dbe7de7a2101ef72d1d62d90888541,FY2021Q2; Media Advisory - TD Bank Group to release first quarter financial results
td_newsroom,news_json,2021-02-04_media-advisory-td-bank-group-to-release-first-quarter-fina,data/raw/news/2021-02-04_media-advisory-td-bank-group-to-release-first-quarter-fina.json,https://stories.td.com/ca/en/news/2021-02-04-media-advisory---td-bank-group-to-release-first-quarter-fina,2026-04-18T02:04:46+00:00,17.0,f2c9832457299ec15ac6e3ec28b5e26a352e640d7c04c7a811c6fb65ba80bc76,parsed headline + body
td_newsroom,news_html,2021-02-05_td-asset-management-inc-announces-changes-to-its-mutual-fun,data/raw/news/2021-02-05_td-asset-management-inc-announces-changes-to-its-mutual-fun.html,https://stories.td.com/ca/en/news/2021-02-05-td-asset-management-inc.-announces-changes-to-its-mutual-fun,2026-04-18T02:04:47+00:00,,d5630f37f7ac3d064286aecea1be1bf6ea77379c0ca49da3e70491fec7fbec12,FY2021Q2; TD Asset Management Inc. announces changes to its mutual fund line-up
td_newsroom,news_json,2021-02-05_td-asset-management-inc-announces-changes-to-its-mutual-fun,data/raw/news/2021-02-05_td-asset-management-inc-announces-changes-to-its-mutual-fun.json,https://stories.td.com/ca/en/news/2021-02-05-td-asset-management-inc.-announces-changes-to-its-mutual-fun,2026-04-18T02:04:47+00:00,45.0,48022a295d307eb9c6b5b74ffc3a0b801e301ff949c617ed919c99a658850daf,parsed headline + body
td_newsroom,news_html,2021-02-09_td-earns-top-spot-in-canadian-digital-banking-reports,data/raw/news/2021-02-09_td-earns-top-spot-in-canadian-digital-banking-reports.html,https://stories.td.com/ca/en/news/2021-02-09-td-earns-top-spot-in-canadian-digital-banking-reports,2026-04-18T02:04:48+00:00,,658baff9fc2232fe32b5db5a7d84c0dc2d70904c52d105421569d76fde700f7d,FY2021Q2; TD Earns Top Spot in Canadian Digital Banking Reports
td_newsroom,news_json,2021-02-09_td-earns-top-spot-in-canadian-digital-banking-reports,data/raw/news/2021-02-09_td-earns-top-spot-in-canadian-digital-banking-reports.json,https://stories.td.com/ca/en/news/2021-02-09-td-earns-top-spot-in-canadian-digital-banking-reports,2026-04-18T02:04:48+00:00,35.0,838ecb4a50a7eab695fa599cf708d522abbbcdb1ab7704bac98bc2c0b8af62d0,parsed headline + body
td_newsroom,news_html,2021-02-11_td-asset-management-inc-announces-revisions-to-the-final-an,data/raw/news/2021-02-11_td-asset-management-inc-announces-revisions-to-the-final-an.html,https://stories.td.com/ca/en/news/2021-02-11-td-asset-management-inc.-announces-revisions-to-the-final-an,2026-04-18T02:04:48+00:00,,7dbd359007266736cfd61f718b7dc6f2927cafd0624ceed37dde68c14cac7214,FY2021Q2; TD Asset Management Inc. Announces Revisions to the Final Annual Reinvested Dist
td_newsroom,news_json,2021-02-11_td-asset-management-inc-announces-revisions-to-the-final-an,data/raw/news/2021-02-11_td-asset-management-inc-announces-revisions-to-the-final-an.json,https://stories.td.com/ca/en/news/2021-02-11-td-asset-management-inc.-announces-revisions-to-the-final-an,2026-04-18T02:04:48+00:00,49.0,afbb9f76ca2937bdaab311b37b0989da17eefd25b62248323bd8f8bc7d33c8b8,parsed headline + body
td_newsroom,news_html,2021-02-12_td-asset-management-inc-announces-td-etf-distributions,data/raw/news/2021-02-12_td-asset-management-inc-announces-td-etf-distributions.html,https://stories.td.com/ca/en/news/2021-02-12-td-asset-management-inc.-announces-td-etf-distributions,2026-04-18T02:04:49+00:00,,d90ea69047cf919c7796099c5dd289dcd923b79ecfdc96657c4e7ce566c2b0e5,FY2021Q2; TD Asset Management Inc. Announces TD ETF Distributions
td_newsroom,news_json,2021-02-12_td-asset-management-inc-announces-td-etf-distributions,data/raw/news/2021-02-12_td-asset-management-inc-announces-td-etf-distributions.json,https://stories.td.com/ca/en/news/2021-02-12-td-asset-management-inc.-announces-td-etf-distributions,2026-04-18T02:04:49+00:00,119.0,ed3ec2de8a5042faaaa98e86f63e6437e16cac645a443f5f4c7b121f0f8cdf4a,parsed headline + body
