iter	Passed	Remaining
0	5	1702
1	7	1117
2	9	923
3	11	818
4	12	756
5	14	712
6	16	693
7	18	666
8	19	644
9	21	622
10	23	607
11	24	592
12	26	578
13	27	569
14	29	560
15	31	560
16	33	550
17	34	540
18	36	533
19	37	527
20	39	522
21	41	518
22	42	514
23	44	510
24	45	505
25	47	503
26	49	499
27	50	494
28	52	489
29	54	487
30	55	484
31	58	486
32	59	482
33	61	477
34	63	478
35	65	477
36	66	473
37	68	469
38	69	465
39	71	463
40	72	460
41	74	460
42	76	456
43	78	454
44	79	451
45	81	452
46	83	449
47	85	446
48	86	443
49	88	441
50	91	445
51	93	445
52	95	444
53	97	443
54	99	441
55	100	438
56	102	435
57	103	432
58	105	430
59	107	428
60	108	426
61	110	424
62	112	421
63	114	421
64	116	419
65	117	417
66	119	416
67	121	414
68	123	412
69	125	411
70	127	411
71	129	411
72	131	410
73	134	410
74	135	407
75	137	406
76	139	404
77	141	402
78	143	400
79	145	399
80	147	397
81	148	395
82	150	393
83	152	391
84	153	389
85	156	388
86	157	386
87	159	384
88	161	382
89	163	382
90	165	379
91	166	377
92	168	374
93	170	372
94	171	371
95	173	369
96	175	367
97	177	365
98	179	364
99	181	363
100	183	360
101	184	359
102	186	357
103	188	355
104	190	353
105	191	351
106	193	348
107	195	347
108	197	345
109	198	343
110	200	341
111	202	339
112	203	337
113	205	335
114	207	333
115	208	331
116	210	329
117	212	327
118	214	326
119	216	324
120	218	322
121	219	320
122	221	318
123	223	316
124	224	314
125	226	312
126	228	311
127	230	309
128	232	307
129	233	305
130	235	303
131	237	302
132	239	300
133	240	298
134	242	296
135	244	294
136	246	292
137	248	291
138	249	289
139	251	287
140	253	285
141	255	283
142	257	283
143	259	281
144	262	280
145	264	278
146	265	276
147	267	274
148	269	273
149	271	271
150	272	269
151	274	267
152	276	266
153	278	264
154	280	262
155	281	259
156	282	257
157	284	255
158	286	253
159	287	251
160	289	249
161	290	247
162	292	245
163	294	244
164	295	242
165	297	240
166	298	237
167	300	236
168	302	234
169	303	232
170	306	230
171	308	229
172	310	228
173	313	226
174	315	225
175	317	223
176	319	222
177	322	220
178	323	218
179	325	216
180	327	215
181	329	213
182	331	211
183	332	209
184	334	208
185	337	206
186	338	204
187	340	202
188	342	201
189	344	199
190	346	197
191	348	195
192	350	194
193	352	192
194	354	190
195	355	188
196	357	187
197	360	185
198	361	183
199	363	181
200	364	179
201	366	177
202	368	176
203	370	174
204	371	172
205	373	170
206	375	168
207	377	166
208	379	165
209	381	163
210	383	161
211	385	159
212	387	158
213	388	156
214	390	154
215	392	152
216	393	150
217	395	148
218	397	146
219	399	145
220	400	143
221	402	141
222	404	139
223	406	137
224	407	135
225	410	134
226	411	132
227	413	130
228	414	128
229	416	126
230	418	124
231	420	123
232	422	121
233	424	119
234	428	118
235	429	116
236	432	114
237	433	113
238	435	111
239	437	109
240	439	107
241	442	106
242	444	104
243	446	102
244	448	100
245	450	98
246	452	96
247	453	95
248	455	93
249	457	91
250	459	89
251	461	87
252	463	86
253	464	84
254	466	82
255	468	80
256	470	78
257	471	76
258	473	74
259	475	73
260	477	71
261	479	69
262	481	67
263	483	65
264	484	64
265	486	62
266	488	60
267	490	58
268	492	56
269	494	54
270	496	53
271	497	51
272	499	49
273	501	47
274	503	45
275	504	43
276	506	42
277	508	40
278	510	38
279	512	36
280	513	34
281	515	32
282	517	31
283	518	29
284	520	27
285	522	25
286	524	23
287	525	21
288	527	20
289	529	18
290	530	16
291	532	14
292	534	12
293	535	10
294	537	9
295	539	7
296	541	5
297	542	3
298	544	1
299	545	0
